produto,grupo
"120900 - CHAPA FF #20   (0,91)     1010",Chapas
"126202 - AÇO CHATO LAM 1/2 X 3"" SAE-1020",Aços
126214 - AÇO CHATO LAM 1/2  X 3.1/2  1020,Aços
"126226 - AÇO CHATO LAM 5/8 X 3"" SAE-1020",Aços
"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160",Aços
126329 - AÇO CHATO LAM 5/8 X 1.1/2 SAE-1020,Aços
126457 - AÇO CHATO LAM 3/8 X 2 SAE-1020,Aços
126706 - AÇO CHATO LAM 5/8 X 2.1/2 SAE-1020,Aços
"126755 - AÇO CHATO LAM 1"" X 3"" SAE-1020",Aços
126901 - AÇO CHATO LAM 3/4 X 3 SAE-1020,Aços
130552 - CANTONEIRA   3/16 X 2     1020,
130631 - CANTONEIRA   1/4  X 3         1020,
134018NAC - TUBO RETANGULAR 200 X 100 X 4.75,Tubos
134030 - TUBO MEC STAND 101.60 X 6.30,Tubos
"134031NAC - TUBO QUADRADO 100,00 X 100,00 X 6.3MM",Tubos
134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm,Tubos
"134107 - TUBO SCHEDULLE 80 - 4""",Tubos
"134144 - TUBO SCHEDULLE 80 - 2"" C/C",Tubos
134157 - TUBO MECANICO  50 X  32  ST-52,Tubos
"134170 - TUBO SCHEDULLE 80 - 1.1/2""",Tubos
"134172 - TUBO SCHEDULLE 80 - 1"" S/C",Tubos
134223 - TUBO MECANICO  71 X  54  ST-52,Tubos
134224 - TUBO MECANICO  71 X  43  ST-52,Tubos
134375 - TUBO     1/2       DIN 2440,Tubos
"134387 - TUBO SCHEDULLE 40 - 3/8"" S/C  5 METROS",Tubos
"134388 - TUBO SCHEDULLE 40 - 3/8"" S/C  6.30 METROS",Tubos
"134430 - TUBO SCHEDULLE 40 - 1.1/4""",Tubos
134716 - TUBO MECANICO  56 X  28  ST-52,Tubos
134789 - TUBO MECANICO 131 X 105 ST-52,Tubos
134855 - TUBO     1           DIN 2440,Tubos
"134892 - TUBO SCHEDULLE 80 - 3.1/2""",Tubos
134910 - TUBO SCHEDULLE 40 - 1/4,Tubos
200391 - KIT BOMBA MULTI-FLEX SEMI-COMPLETO (SEM GAIOLA),Especiais
209911 - ENGATE RÁPIDO C2 COM ESCAMA 050030005,
"212028 - ARRUELA LISA 7/8""",
"212091 - ARRUELA LISA 3/8"" ZB CHAPA 1,5MM",
"212092 - ARRUELA LISA 1/2"" CHAPA 1/8"" ZB OU ZA",
"212093 - ARRUELA LISA 3/4"" CHAPA 3,75MM",
"212095 - ARRUELA LISA 1"" CH 3/16""",
"212096 - ARRUELA LISA ZB 5/16"" EXP. 1,5 MM",
"212097 - ARRUELA LISA 5/8"" GALV # 1/8""",
"212099 - ARRUELA LISA 1/2"" ZB CHANFRA. # 1/8""",
"212258 - ARR. DE PRES. MÉDIA - ZB 3/4""",
"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""",
"212301 - ARR. DE PRES. MÉDIA - ZB 1/2""",
"212350 - ARR. DE PRES. MÉDIA - ZB 5/16""",
"212404 - ARR. DE PRES. MÉDIA - ZB 5/8""",
"212507 - ARR. DE PRES. MÉDIA - ZB 1/4""",
"212600 - ARR. DE PRES. MÉDIA - ZB 3/8""",
"213355 - COTOVELO 90° FG 2""",
"213356 - ADAPTADOR SIMPLES RANHURA DUPLA 2""",
213602 - ABRACADEIRA P/ MANGOTE MS 5462,
216537 - BORRACHA VEDAÇÃO CÓD. 84601-01,
"222057 - GRAMPO 1/2""x55x110-B P/ FXS.",
"222058 - GRAMPO 1/2""x55x155-B P/ FXS.",
222100 - CONTRA PINO  5/32 X 1.1/2,
222148 - CONTRA PINO  3/16 X 1.1/2,
222150 - CONTRA PINO  1/4  X 2.1/2,
222197 - CONTRA PINO  1/8  X 1,
"222217 - PINO TRAVA BUSSAL 3/8 X 2.1/4"" C/ARGOLA",
222252 - CONTRA PINO  3/16 X 2,
222326 - PINO ELÁSTICO 4 X 26MM,
"222356 - GRAMPO R 4,5 X 80 ZB",
"222404 - CUBO RODA F. FUND. NOD. GGG-50"" CBHM 6000",Cubo de roda
222859 - CONTRA PINO  3/16 X 3,
226105 - CORRENTE ELO 3/16 F. POLIDO,
"232300 - GRAMPO P/ CABO DE ACO 3/16""",
234205 - GRAXEIRO 1/4 UNF       RETO,
238260 - MOLA TRAVA IÇAM. FA/FP/C,
238405 - MOLA DA TRAVA DA CBHM,
238406 - MOLA - COMPL GUIA DO ÊMBOLO - CARR MELÃO 025086,
240084 - TEE C/PORCA ANILHA 3/4 16F UNF,
"240229 - MANG A/P SAE-100 3/8"" x 400mm TERM. RETO/RETO JIC 3/4""",Especiais
"240233 - MANG A/P SAE-100 3/8"" X 400 TERM. 90° JIC 3/4""FEMEA X RETO JIC 3/4"" UNF FEMEA",Especiais
240462 - CAPS DE VINIL DMPC 0740-1A,
